,Advert Date,City,Brand,Model,Motor,Year,Kilometres,Colors,Price
201,10 Ekim 2024,"Afyonkarahisar
Merkez",Ford,Fiesta,1.5 TDCi,2013,130.000,Gri (Gümüş),537.500
202,10 Ekim 2024,"Sakarya
Erenler",Fiat,Egea,1.3 Multijet,2023,67.000,Beyaz,803.500
203,10 Ekim 2024,"Antalya
Muratpaşa",Fiat,Punto,1.3 Multijet,2013,219.000,Beyaz,436.900
204,10 Ekim 2024,"Malatya
Yeşilyurt",Peugeot,307,1.4 HDi,2005,275.000,Siyah,295.000
205,10 Ekim 2024,"Trabzon
Vakfıkebir",Renault,Symbol,1.5 dCi,2012,163.000,Gri (Gümüş),455.000
206,10 Ekim 2024,"Trabzon
Vakfıkebir",Opel,Vectra,1.9 CDTI,2006,285.000,Gri (Gümüş),285.000
207,10 Ekim 2024,"Yozgat
Sorgun",Fiat,Egea,1.4 Fire,2021,85.000,Beyaz,645.000
208,10 Ekim 2024,"İstanbul
Esenyurt",Tata,Vista,1.3 TDI,2013,170.000,Füme,348.000
209,10 Ekim 2024,"Aydın
Çine",Opel,Astra,1.3 CDTI,2011,200.000,Beyaz,555.000
210,09 Ekim 2024,"İstanbul
Zeytinburnu",BMW,4,Serisi 418i,2017,90.000,Gri (metalik),1.450.000
211,09 Ekim 2024,"Adana
Seyhan",Ford,Focus,1.6 TDCi,2014,216.000,Beyaz,655.000
212,09 Ekim 2024,"Aksaray
Merkez",Opel,Corsa,1.3 CDTI,2013,172.000,Beyaz,495.000
213,09 Ekim 2024,"Konya
Karatay",Ford,Focus,1.5 TDCi,2017,139.000,Beyaz,835.000
214,09 Ekim 2024,"Hatay
Antakya",Volkswagen,Polo,1.2 TDi,2014,183.000,Beyaz,550.000
215,09 Ekim 2024,"Bolu
Merkez",Kia,Rio,1.5 CRDi,2009,302.000,Beyaz,315.000
216,09 Ekim 2024,"İstanbul
Avcılar",Volkswagen,Jetta,1.6 TDi,2011,129.000,Siyah,810.000
217,09 Ekim 2024,"İstanbul
Bağcılar",Mercedes,-,Benz C,2016,218.000,Beyaz,1.465.000
218,09 Ekim 2024,"İstanbul
Bahçelievler",Fiat,Egea,1.4 Fire,2020,32.000,Füme,690.000
219,09 Ekim 2024,"Uşak
Merkez",Peugeot,206+,1.4 HDi,2011,160.000,Beyaz,338.000
220,09 Ekim 2024,"Kayseri
Kocasinan",Opel,Astra,1.3 CDTI,2010,207.000,Siyah,555.000
221,09 Ekim 2024,"Kocaeli
İzmit",Renault,Megane,1.5 Blue,2021,65.000,Beyaz,1.159.000
222,09 Ekim 2024,"Muğla
Bodrum",Volvo,S40,1.6 D,2012,248.000,Siyah,550.000
223,09 Ekim 2024,"Ankara
Sincan",Renault,R,11 Flash,1992,200.000,Beyaz,70.000
224,09 Ekim 2024,"Kocaeli
Başiskele",Renault,Grand,Scenic 1.5,2011,285.000,Gri,480.500
225,09 Ekim 2024,"İstanbul
Beylikdüzü",Volkswagen,Passat,1.6 TDi,2016,141.000,Beyaz,1.080.000
226,09 Ekim 2024,"İstanbul
Beylikdüzü",Renault,Clio,1.0 TCe,2024,9.000,Turuncu,972.500
227,09 Ekim 2024,"İstanbul
Küçükçekmece",Hyundai,i20,1.4 MPI,2016,68.000,Beyaz,748.000
228,09 Ekim 2024,"İstanbul
Beylikdüzü",Renault,Megane,1.6 Expression,2007,219.000,Şampanya,435.000
229,09 Ekim 2024,"Konya
Karatay",Honda,Civic,1.5 i-VTEC,2023,28.000,Siyah,1.595.000
230,09 Ekim 2024,"Konya
Karatay",Toyota,Corolla,1.4 D-4D,2018,80.000,Beyaz,999.000
231,09 Ekim 2024,"Konya
Karatay",Audi,A3,Sedan 35,2024,17.000,Siyah,2.115.000
232,09 Ekim 2024,"Kayseri
Melikgazi",Opel,Astra,1.6 Essentia,2012,211.000,Beyaz,565.000
